model,component,layer,control,estimate,ci_low,ci_high,n_false,n_control
gemma3_12b,mlp,0,translation_control,2.087130922824146,0.2699646118655802,4.969035670757293,20,16
gemma3_12b,mlp,4,true_friend,2.3432287216186523,0.5261735448241234,4.879455376267429,20,20
gemma3_12b,mlp,4,translation_control,1.9481499999761582,0.1975587038695813,4.442110840678215,20,16
gemma3_12b,mlp,8,true_friend,2.473300355672836,0.9111353099346161,4.627229912579057,20,20
gemma3_12b,mlp,8,translation_control,2.108953046798706,0.66887876406312,4.117266266047951,20,16
gemma3_12b,mlp,12,true_friend,1.5176731646060944,0.8297612322866916,2.286286726295948,20,20
gemma3_12b,mlp,12,translation_control,1.1353916257619858,0.48148740023374564,1.8486923228204248,20,16
gemma3_12b,mlp,16,true_friend,0.46839554905891423,-0.07016299307346345,1.043287331908941,20,20
gemma3_12b,mlp,16,translation_control,0.6066717535257411,0.14757903650403062,1.1313216783106395,20,16
gemma3_12b,mlp,20,true_friend,0.3893405318260193,-0.02287466228008268,0.7987168172001833,20,20
gemma3_12b,mlp,20,translation_control,0.7441666692495346,0.2813944385200739,1.2256494265794753,20,16
gemma3_12b,mlp,24,true_friend,-0.2238982915878296,-0.5407012324035168,0.08052886068820904,20,20
gemma3_12b,mlp,24,translation_control,-0.18047040998935698,-0.5897016111761332,0.2267346996068954,20,16
gemma3_12b,mlp,28,true_friend,0.027485716342926028,-0.16190239667892453,0.2169747593998908,20,20
gemma3_12b,mlp,28,translation_control,-0.11124003678560124,-0.37608232885599,0.1459919995442044,20,16
gemma3_12b,mlp,32,true_friend,0.023666119575500487,-0.12393082529306411,0.1807527685165404,20,20
gemma3_12b,mlp,32,translation_control,-0.025048434734344482,-0.22766747698187828,0.16548562899231878,20,16
gemma3_12b,mlp,36,true_friend,-0.19903706312179564,-0.34261783212423325,-0.0662359005212784,20,20
gemma3_12b,mlp,36,translation_control,0.032550577819349155,-0.14649913672357795,0.23847979497164648,20,16
gemma3_12b,mlp,40,true_friend,-0.0013885617256164523,-0.1508188924193382,0.14463864445686334,20,20
gemma3_12b,mlp,40,translation_control,0.03722628355026245,-0.12733435064554216,0.20038306578993795,20,16
gemma3_12b,mlp,44,true_friend,-0.03713664412498474,-0.12907900243997572,0.04886163309216492,20,20
gemma3_12b,mlp,44,translation_control,0.021642160415649415,-0.119124608784914,0.17432189181447025,20,16
gemma3_12b,mlp,47,true_friend,0.0,0.0,0.0,20,20
gemma3_12b,mlp,47,translation_control,0.0,0.0,0.0,20,16
gemma3_12b,residual,0,true_friend,2.940873181819916,-1.4286105170845982,8.297292976379392,20,20
gemma3_12b,residual,0,translation_control,-2.5854679770766924,-5.356313931178301,-0.12246827784925511,20,16
gemma3_12b,residual,4,true_friend,10.76903140246868,5.990124027356505,16.076433873176573,20,20
gemma3_12b,residual,4,translation_control,4.7150263272226605,1.29417653266348,8.601942788884044,20,16
gemma3_12b,residual,8,true_friend,15.479643806815147,9.788304670080542,21.69400322385131,20,20
gemma3_12b,residual,8,translation_control,12.588020302355822,7.6998892398556436,18.255824483632814,20,16
gemma3_12b,residual,12,true_friend,11.73223115503788,7.001885539293289,16.790435685515405,20,20
gemma3_12b,residual,12,translation_control,9.340524709974137,4.323769293827486,14.42888092814046,20,16
gemma3_12b,residual,16,true_friend,10.345217472314834,6.326701409965754,14.854232898950578,20,20
gemma3_12b,residual,16,translation_control,9.848662623764776,5.694976476282076,14.35366555169234,20,16
gemma3_12b,residual,20,true_friend,7.2364938199520115,4.027646518945694,10.824094179570672,20,20
gemma3_12b,residual,20,translation_control,7.089017815888134,4.264686246886842,10.340540663488214,20,16
gemma3_12b,residual,24,true_friend,4.710721987485886,2.3354462799429894,7.4161019152402865,20,20
gemma3_12b,residual,24,translation_control,4.539527775347229,2.3421688510477523,7.165963442139326,20,16
gemma3_12b,residual,28,true_friend,0.3163338243961334,-0.14865835875272754,0.8393947355449198,20,20
gemma3_12b,residual,28,translation_control,0.03129693567752301,-0.4397050382942013,0.5573185574263264,20,16
gemma3_12b,residual,32,true_friend,0.07718009948730467,-0.24808832675218578,0.45640806734561845,20,20
gemma3_12b,residual,32,translation_control,-0.12494236379862189,-0.4953963617980516,0.2822727729752652,20,16
gemma3_12b,residual,36,true_friend,-0.050122165679931635,-0.3275371658802032,0.22232438445091238,20,20
gemma3_12b,residual,36,translation_control,-0.32806137204170227,-0.6778050352632999,5.6531876325554905e-05,20,16
gemma3_12b,residual,40,true_friend,-0.1692485988140106,-0.39237050458788875,0.050695011764764764,20,20
gemma3_12b,residual,40,translation_control,-0.11666142344474792,-0.298841065466404,0.06531670913100232,20,16
gemma3_12b,residual,44,true_friend,-0.032710587978363036,-0.18223224580287933,0.1098742648959158,20,20
gemma3_12b,residual,44,translation_control,0.04568771719932556,-0.07281723156571387,0.16200916141271587,20,16
gemma3_12b,residual,47,true_friend,0.0,0.0,0.0,20,20
gemma3_12b,residual,47,translation_control,0.0,0.0,0.0,20,16
qwen3_8b,attention,0,true_friend,0.9951755469126511,-0.19337822242308902,2.634473004813408,20,20
qwen3_8b,attention,0,translation_control,0.7611223938816694,-0.4245784042596642,2.4203196193465537,20,16
qwen3_8b,attention,4,true_friend,0.9884685292840913,0.33808492198595325,1.872175869643779,20,20
qwen3_8b,attention,4,translation_control,0.8046329510711985,0.15888105452125728,1.69682287735897,20,16
qwen3_8b,attention,8,true_friend,-0.005278990582382903,-0.18771106654011416,0.1807151550711807,20,20
qwen3_8b,attention,8,translation_control,-0.08812523319911633,-0.2755117398493553,0.09260414338504688,20,16
qwen3_8b,attention,12,true_friend,-0.06035708341082681,-0.240742806494236,0.11365916588122672,20,20
qwen3_8b,attention,12,translation_control,0.09176536977138312,-0.06839732546512095,0.2567198493226987,20,16
qwen3_8b,attention,16,true_friend,-0.09525524669315927,-0.22969754376257695,0.0414644684660788,20,20
qwen3_8b,attention,16,translation_control,-0.005856452119951422,-0.17558075647714758,0.16898200511576691,20,16
qwen3_8b,attention,20,true_friend,-0.0033646389102386792,-0.09462504214882243,0.08642642818257272,20,20
qwen3_8b,attention,20,translation_control,-0.039162640252197886,-0.16861745682812626,0.09853020992183467,20,16
qwen3_8b,attention,24,true_friend,0.10109571300336029,-0.05133046032651462,0.24174486869304013,20,20
qwen3_8b,attention,24,translation_control,0.05964723784009038,-0.06067045590376437,0.1860945887630621,20,16
qwen3_8b,attention,28,true_friend,0.056057988106840644,-0.004859536141530042,0.1186040186136869,20,20
qwen3_8b,attention,28,translation_control,-0.014332278072834015,-0.08018938049674035,0.05629882343113421,20,16
qwen3_8b,attention,32,true_friend,0.03692371025681496,-0.023888935726135967,0.09624044811353086,20,20
qwen3_8b,attention,32,translation_control,-0.05953400060534477,-0.13098693380132317,-0.00025673456490047573,20,16
qwen3_8b,attention,35,true_friend,0.0,0.0,0.0,20,20
qwen3_8b,attention,35,translation_control,0.0,0.0,0.0,20,16
qwen3_8b,mlp,0,true_friend,0.601262647789963,-0.5875271283984602,1.815935892755768,20,20
qwen3_8b,mlp,0,translation_control,-1.0997300926499516,-1.9771171966002279,-0.22446557885877613,20,16
qwen3_8b,mlp,4,true_friend,2.459414648155416,0.6711394259470308,4.7971363182805655,20,20
qwen3_8b,mlp,4,translation_control,2.998061776108261,1.1477849803750861,5.4062628913314486,20,16
qwen3_8b,mlp,8,true_friend,1.6168229613683025,0.8715027799655143,2.4335588061160554,20,20
qwen3_8b,mlp,8,translation_control,1.2905218304645132,0.5458147901284087,2.1090423696439573,20,16
qwen3_8b,mlp,12,true_friend,0.410833523391193,0.04472067279329621,0.7191523212821767,20,20
qwen3_8b,mlp,12,translation_control,0.1185662176036203,-0.2589289584538392,0.49298130117067096,20,16
qwen3_8b,mlp,16,true_friend,0.29992304547304227,0.06286387216167894,0.5363097237487091,20,20
qwen3_8b,mlp,16,translation_control,0.40990840698482317,0.20902031266512153,0.6278820386928657,20,16
qwen3_8b,mlp,20,true_friend,0.11318114765365409,-0.06723868945629022,0.29048268445006037,20,20
qwen3_8b,mlp,20,translation_control,0.13329814838489257,-0.06881229251623154,0.3314460213674874,20,16
qwen3_8b,mlp,24,true_friend,0.2232632838816471,0.028639888739858184,0.4405485079304281,20,20
qwen3_8b,mlp,24,translation_control,0.18868355636404885,0.03095856999818352,0.3552829977110559,20,16
qwen3_8b,mlp,28,true_friend,-0.0008406801807950611,-0.07975055399379016,0.0800326789599273,20,20
qwen3_8b,mlp,28,translation_control,0.0533302373861261,-0.03598444752395153,0.1394275148068231,20,16
qwen3_8b,mlp,32,true_friend,0.022466766088632538,-0.04266804935517541,0.0890316641326989,20,20
qwen3_8b,mlp,32,translation_control,-0.022007603942438437,-0.08920673836022615,0.03998800153269711,20,16
qwen3_8b,mlp,35,true_friend,0.0,0.0,0.0,20,20
qwen3_8b,mlp,35,translation_control,0.0,0.0,0.0,20,16
qwen3_8b,residual,0,true_friend,0.7581001756806927,-0.5787995540344844,2.133740683714321,20,20
qwen3_8b,residual,0,translation_control,-1.3690885703902491,-2.546689261298979,-0.07823517180021149,20,16
qwen3_8b,residual,4,true_friend,8.97922934996277,4.599561360462885,14.045451434705173,20,20
qwen3_8b,residual,4,translation_control,7.8967969959778195,3.3421972467107204,13.138635574010532,20,16
qwen3_8b,residual,8,true_friend,9.334199312472014,4.934180350375692,14.411865387226985,20,20
qwen3_8b,residual,8,translation_control,9.293922135885252,4.471313578411391,14.5057186259096,20,16
qwen3_8b,residual,12,true_friend,8.51618948141413,4.126071165241299,13.552682660467243,20,20
qwen3_8b,residual,12,translation_control,8.861914982683993,4.203214979938234,14.297728321068018,20,16
qwen3_8b,residual,16,true_friend,5.589399259588959,2.781059139419303,8.61398299741045,20,20
qwen3_8b,residual,16,translation_control,6.461039597277702,3.563490993767846,9.612944998600318,20,16
qwen3_8b,residual,20,true_friend,4.770211279401019,2.5101210123291793,7.323532519022932,20,20
qwen3_8b,residual,20,translation_control,5.351511293712429,2.9692892642319197,7.931288640374035,20,16
qwen3_8b,residual,24,true_friend,1.9044282935675483,0.8625414048136314,3.1158440350930294,20,20
qwen3_8b,residual,24,translation_control,1.9271743516898368,0.8290333335189735,3.158347112992954,20,16
qwen3_8b,residual,28,true_friend,0.06715818511206637,-0.11329010981033547,0.25320829221885444,20,20
qwen3_8b,residual,28,translation_control,0.2777301718458148,0.05634476327564473,0.5401128745451569,20,16
qwen3_8b,residual,32,true_friend,0.0023142940564866883,-0.08124257929623126,0.08470851490412305,20,20
qwen3_8b,residual,32,translation_control,0.11072745174078591,-0.012267487812832767,0.22342509105703812,20,16
qwen3_8b,residual,35,true_friend,0.0,0.0,0.0,20,20
qwen3_8b,residual,35,translation_control,0.0,0.0,0.0,20,16
