model,normalization,contrast,n_items,estimate,ci_low,ci_high,positive_rate
qwen25_7b,mean,full_minus_unrelated,354,3.939971731773055,2.932004747055871,4.921175388031277,0.652542372881356
qwen25_7b,mean,masked_minus_unrelated,354,4.499823431288064,3.6254104753417624,5.378372151099082,0.7005649717514124
qwen25_7b,mean,full_minus_surface,354,5.244173705938605,4.442353005726724,6.049002450849151,0.7372881355932204
qwen25_7b,mean,full_minus_masked,354,-0.5598516995150093,-1.2498433100753705,0.10514212407857675,0.4915254237288136
qwen25_7b,mean,accuracy_full,354,0.652542372881356,0.6016949152542372,0.7033898305084746,0.652542372881356
qwen25_7b,mean,accuracy_language_unrelated,354,0.4463276836158192,0.3926553672316384,0.4971751412429379,0.4463276836158192
qwen25_7b,mean,accuracy_masked,354,0.6807909604519774,0.632768361581921,0.7288135593220338,0.6807909604519774
qwen25_7b,mean,accuracy_surface_only,354,0.4209039548022599,0.3700564971751412,0.4717514124293785,0.4209039548022599
qwen25_7b,sum,full_minus_unrelated,354,3.939971731773055,2.976151986475275,4.941748308449627,0.652542372881356
qwen25_7b,sum,masked_minus_unrelated,354,4.499823431288064,3.6230468638921245,5.378725264810053,0.7005649717514124
qwen25_7b,sum,full_minus_surface,354,5.244173705938605,4.441986647636268,6.054742648177065,0.7372881355932204
qwen25_7b,sum,full_minus_masked,354,-0.5598516995150093,-1.2363170938024088,0.13580949016286528,0.4915254237288136
qwen25_7b,sum,accuracy_full,354,0.652542372881356,0.6016949152542372,0.7005649717514124,0.652542372881356
qwen25_7b,sum,accuracy_language_unrelated,354,0.4463276836158192,0.3954802259887006,0.4971751412429379,0.4463276836158192
qwen25_7b,sum,accuracy_masked,354,0.6807909604519774,0.6299435028248588,0.7288135593220338,0.6807909604519774
qwen25_7b,sum,accuracy_surface_only,354,0.4209039548022599,0.3700564971751412,0.4745762711864407,0.4209039548022599
qwen3_8b,mean,full_minus_unrelated,354,-0.09536932956027445,-0.11197930597989572,-0.0781177612684541,0.2796610169491525
qwen3_8b,mean,masked_minus_unrelated,354,0.025699593926553674,0.01506499382062147,0.03675144001588982,0.5847457627118644
qwen3_8b,mean,full_minus_surface,354,-0.019202973209531966,-0.031879046744545975,-0.00674035427934035,0.4322033898305085
qwen3_8b,mean,full_minus_masked,354,-0.12106892348682813,-0.13515266772717408,-0.10684428245334303,0.16666666666666666
qwen3_8b,mean,accuracy_full,354,0.3163841807909605,0.268361581920904,0.3644067796610169,0.3163841807909605
qwen3_8b,mean,accuracy_language_unrelated,354,0.5084745762711864,0.4576271186440678,0.559322033898305,0.5084745762711864
qwen3_8b,mean,accuracy_masked,354,0.5903954802259888,0.53954802259887,0.6413135593220329,0.5903954802259888
qwen3_8b,mean,accuracy_surface_only,354,0.2937853107344633,0.24858757062146894,0.3389830508474576,0.2937853107344633
qwen3_8b,sum,full_minus_unrelated,354,-0.09536932956027445,-0.11231344621733756,-0.07876218207138407,0.2796610169491525
qwen3_8b,sum,masked_minus_unrelated,354,0.025699593926553674,0.01485161215572034,0.036602610787429365,0.5847457627118644
qwen3_8b,sum,full_minus_surface,354,-0.019202973209531966,-0.03192359380802866,-0.006589524927785854,0.4322033898305085
qwen3_8b,sum,full_minus_masked,354,-0.12106892348682813,-0.13570088198629476,-0.10708890580861584,0.16666666666666666
qwen3_8b,sum,accuracy_full,354,0.3163841807909605,0.268361581920904,0.3615819209039548,0.3163841807909605
qwen3_8b,sum,accuracy_language_unrelated,354,0.5084745762711864,0.4548022598870056,0.559322033898305,0.5084745762711864
qwen3_8b,sum,accuracy_masked,354,0.5903954802259888,0.53954802259887,0.6384180790960452,0.5903954802259888
qwen3_8b,sum,accuracy_surface_only,354,0.2937853107344633,0.2457627118644068,0.3418079096045198,0.2937853107344633
